name,id,star,url,comment
肖申克的救赎,1292052,9.6,https://movie.douban.com/subject/1292052/," 不需要女主角的好电影
         恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
         策划了19年的私奔……
         关于希望最强有力的注释。
         当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
         有种鸟是关不住的.
         忒经典的东西,我要带去我的坟墓
         超级喜欢超级喜欢,不看的话人生不圆满.
         “这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。
         真的不喜欢，不好看，没感觉
         这无疑是我看得最多的一部经典,爱死
         人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
         点在哪？浅白的励志片诶
         Fear Can Hold You Prisoner, Hope Can Set You Free
         没有人会不喜欢吧！书和电影都好。
         Hope is a good thing, and maybe the best thing of all.
         越狱我感觉就是改编自这个
         看完让人很振奋
         hope is a good thing
         有那么好吗？？？？？
        "
这个杀手不太冷,1295644,9.4,https://movie.douban.com/subject/1295644/," 萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~
         一半的魅力来自反派：Gary Oldman.
         她对Leon说，自从遇见你后，我的胃，再也不痛了……
         我开始想要过得快乐，睡在床上，有牵挂
         他们居然没做爱
         Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。
         这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。
         小妞造型不错，赶在长残之前拍完了
         -Is life always this hard.or is it just when you're a kid
-Always like this. 
         一个杀手被一个萝莉害死的故事
         娜塔莉波特曼激萌啊
         喜欢这个喝牛奶的男人
         Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone.
         我没啥感觉的公认好片。
         我到哪里找，像你这么好。
         爱上了让雷诺。爱上了这个意大利杀手的温情。爱上了他脸部轮廓，和刚毅的线条。“人生诸多辛苦，是不是只有童年如此。”玛蒂尔达问。里昂说，“一直如此。”这样的话，击中了内心深处。
         或许是很多姑娘大叔控的根源。
         Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go now, go. 
         找不到比这个更喜欢的了。
         看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。

        "
霸王别姬,1291546,9.5,https://movie.douban.com/subject/1291546/," 陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原
         如果拍完这部电影就死去，陈凯歌就不朽了！！可惜他后来又拍了不少电影。。。
         说好了一辈子，少一年、一天、一个时辰，都不是一辈子。
         在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄
         他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。
         最优秀的中国电影
         张丰毅骂游行学生：“一个个都他妈忠臣良将的摸样，那日本兵就在城外，打去呀，敢情欺负的还是中国人。”英达接过来说，“瞎哄呗，学生们不都没娶过媳妇儿不是？总得找个地方煞煞火。” 
         不解,拍出过霸王别姬的人怎能拍出无极来
         就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿
         君王意气尽 贱妾何聊生
         人戏不分，不疯魔不成活。
         仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。
         我料想过它好，可没想过居然这么好，一部电影，故事，角色，演员，情感，内涵，光影，剪辑的运用。能有一方面做好便已经难得，而它居然全部都做到了。对于这样一部电影居然没能得到奥斯卡最佳外语片，我只能说——真他妈瞎了你们的狗眼
         虞姬死了，程蝶衣死了，张国荣死了。戏里戏外，真真假假，可是，结果都一样。
         你凝视你的脸，几亿人在爱恋。
         这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
         凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……
         往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。
         程蝶衣就是个入戏太深的痴人，眼里只有霸王，而“霸王”却为了保命背叛了虞姬也背叛了自己的老婆，段小楼戏里戏外分得很清，他只是戏台上的霸王，菊仙的结局真是可怜。日本人凶残但对于艺术却有人能真正欣赏，有礼有序；某党真是让人只能苦笑，打砸抢烧乱批斗，袁四爷说得好，到底谁才是辱我国粹之人！
         不疯魔，不成活
        "
阿甘正传,1292720,9.4,https://movie.douban.com/subject/1292720/," 羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来
         不看这个，相当于没看过电影
         说实话，我没看到影片过于励志的内容。只看到阿甘利用了他的天赋，并成功了。当然，他很执着，很善良。
         电影开篇,就告诉了人生的真实意义，就是羽毛,你无法决定和选择将要遇到什么,只能随风摇曳,在空中尽情的舒展美好!
         妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。
         他不是幸运，他只是一直在做正确的事情，真心对人，信守承诺，听从命令，孝顺母亲，照顾朋友....这才是走向成功的必然之路。他不是低能，他只是善良。
         每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍
         Mama always said life was like a box of chocolates. You never know what you're gonna get.
         阿甘奔跑的意象，应该留在了很多人心里。
         我生命里最温暖的一部电影
         太甜美的美國夢
         太TMD的煽情、教育和虛偽了。丫努力就有收獲嗎？如果不是包含美國夢色彩和理想主義情懷，它本可以更好
         you are my girl.

         人生就像一盒巧克力，你不知道会选中哪一颗。
         十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。
         美国梦史诗，但在看似浮华的场面背后依旧是不堪一击的羸弱，完全过场版的故事走向，为了把那些历史的节点串在一起而刻意斧凿的剧情实在很冗杂；坚决反对这种投机倒把的行为。
         人人都该看!!
         记者：“中国有什么？”阿甘：“中国什么都没有”
         遇见阿甘一般的男人是一生的梦想
         一切尽在不言……我人生的第一部电影
        "
美丽人生,1292063,9.5,https://movie.douban.com/subject/1292063/," 或许这是我看过的最伟大的喜剧。
         如果谎言可以这样美丽，我也情愿生活在谎言之中
         我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...
         喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱
         看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005
         9.5？！奥斯卡！？就拍成这样也配！？
         即使是悲惨世界,也要大大的笑着.
         乐观的态度,持久的爱情，伟大的父爱,在这种残忍的践踏中表现出来才让人如此的动容,一定不会忘了这位犹太青年
         人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。
 

         很久以前看过的，永远难忘片中的父亲被枪毙前的鬼脸
         这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆
         绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。
         父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.
         对我说：“早上好，公主”吧
         不喜欢话痨癫狂式的表演~~
         最温柔的谎言。
         我爸爸是四核的超人
         在真实的历史面前，不可能有这样的轻松与浪漫！
         早安！公主！
         美丽的灵魂成就美丽的人生
        "
千与千寻,1291561,9.2,https://movie.douban.com/subject/1291561/," 不努力工作会变成猪
         曾发生过的事请不可能忘记 只不过是你想不起罢了
         自认为是宫崎骏最好的一部。
         每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊
         我觉得这是一部。。。额。。。恐怖片
         十年后重看只想大哭，其实我们都明白这个结局。
         最好的宫崎骏，最好的久石让。
         莫贪吃！贪吃变成猪！
         “有些事情是不可能忘记的。 只是一时想不起来。”忘了怎么打动我的了……好像不是打动，而是震撼。
         内个白龙好像塔矢亮！其实这是个爱丽丝漫游奇遇记的东方版呢！
         有那么那么经典吗？还是我老了？
         曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧
         又是个成人动画,估计大部分中国观众很难体会什么.
         你忘了吗?
往下飞的时候眼泪是往上流的.
         有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）
         一个寻找自我或者自我复苏的过程
         我与猪都认可的片儿。
         天呐我绝对加过这个豆瓣你干嘛把我电影丢了
         即使只是短暂的一瞥，也是莫大的力量，这就是谁都想要的激动和幸福。
         回归纯真
        "
辛德勒的名单,1295124,9.4,https://movie.douban.com/subject/1295124/," 有钱才能保护喜欢的人
         导演很清楚观众会喜欢什么，而这正是我不喜欢的地方
         印象很深刻的是黑白画面中的红色。
         出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。
         救人一命就是救全世界.
         这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大
         请看一部没有笑容的电影吧
         我哭死算了我
         不仅仅是犹太人，而是整个人类的悲剧。
         救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。
         “凡救人一命，即救全世界！”一段如此深刻的历史，多么希望它早早结束，但如此一部经典的影片你却永远都不想它完结。感动于良知，印象很深刻的永远是黑白画面中的那一抹红色。在任何时代，不管有多么的黑暗，都会有人性的光辉在闪烁着；经典的影片也不会因为缺失色彩而让人觉得沉闷。★★★★☆
         很棒，直击人心。不知道什么时候中国也能拍出这样的电影。
         属于看时激动,看完越想越没意思的那种
         献给导演认真的态度和无数个小高潮
         人性之恶，生命之荒谬
         本来是五星，看到末尾变成四星了
         媚俗！
         站台记录了那个年代可怕的未来和往昔，人心充斥的只有霸道和惨绝。
         每一次看都有新鲜发现，每一次看都会内牛满面。
         是经典,都该看一看.
        "
泰坦尼克号,1292722,9.2,https://movie.douban.com/subject/1292722/," 我还就给5星了  怎么样八
         那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
         “我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。
         还是会哭。
         永远是我在电影院所看过最好的电影
         一部应该被记住的电影.
         还用说么？太经典了。
         事隔那麼多年依然無法忘記當初的感動。
         生死两茫茫
不思量
自难忘
         卡梅隆的剧本功夫其实还可以，但是这种美式主流领域内的穷小子操高贵小姐的故事注定无聊
         爱你只是一瞬，却不知在时间的洪流中成了永恒。
         里奥纳多啊……
         若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。
         我想失去的才是永恒的。
         经典的经典的经典
         神话是这样出现的
         这个过于经典
         爱情撼动全世界！2008.7.26 CCTV6

         高中时代的大片，最让我动心的是音乐
         看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5
        "
盗梦空间,3541415,9.2,https://movie.douban.com/subject/3541415/," 大概广电局也不知道该从哪里剪
         卡梅隆负责革新电影技术，诺兰负责革新电影结构...
         1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
         一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。
         植入意识不向来是我泱泱大国的长项么？
         我的陀螺停不下来了。
         一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！
         前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。
         《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。
         “既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?
         Nolan给了我们一场无法盗取的梦。
         这电影看完就开始怀疑人生了，类似的还有《蝴蝶效应》《骇客帝国》《心慌方》《无姓之人》《攻壳机动队》《楚门的世界》等等……其实我突然觉得这一类题材影片的鼻祖明明就是动画片《魔方大厦》啊，郑渊洁威武。
         我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞
         Christopher Nolan是天才!
         一部影迷一定不要错过的电影，就像帝国杂志说的，这部影片就像是《黑客帝国》加上《纽约提喻法》，反物理学的探讨、精彩的动作场面、具有冲击力的情感、以及莱昂纳多令人吃惊的表演，都让人沉迷不已，这是诺兰电影的一个全新领域。
         列奥纳多干完这票肯定是要去Shutter Island修养一阵了。
         诺兰+莱昂纳多的电影，我无话可说！
         迷离失所，戏假情真！
         概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
         就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。
        "
机器人总动员,2131459,9.3,https://movie.douban.com/subject/2131459/," 这个世界上最好的动画片
         这是一只安卓和苹果的故事么。。
         把所有的好东西都给eva
         乡下文艺小伙儿追求都市女精英的故事……以及……
         我看哭了。。。
         很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。
         没有引进真是太遗憾了。
         再也没有比《瓦力》更美的动画片了！谈到Wall·E的来源，导演安德鲁·斯坦顿否认了“ET”或者“霹雳五号”的说法（尽管外形很像），他只承认自己创造Wall·E受到了“小台灯”（Luxo）、双筒望远镜、R2-D2、迪士尼乐园“星空之旅”的机器人、卓别林以及伍迪·艾伦的影响。
         人类在这个片子里面是处于完全被嘲笑的位置。（其实应该说美国人？）片中的超大型连锁企业BNL在未来已经统一了所有的商业领域。而人类堕落成完全依靠电脑的帮助才能吃喝拉撒的胖子们。而且从小就接受电脑的教育要消费消费再快点消费。这个世界虽然没有Matrix的灰暗，但是其实相差不远。好在人类并非丧失了本性，只是“遗忘”了而已。而Wall E和Eva的出现就提醒了他们还有一个“家”，虽然已经满目疮痍，在等待着他们的回归。
         陈奕迅都为你唱歌了
         准备看第二遍
         小瓦力，大人生
         地球上最后一個收納歸類狂walle應該是巨蟹座吧。。
         機器人談戀愛也避免不了男女搭配的窠臼(叫Eva倒有夠諷刺)，就更不用説亙古不變的雙眼雙手擬人造型...人類的想象力其實很貧瘠
         清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi
         Just need someone who will look after you
         牵手
         一股脑儿的五星？
         有那么一丝感人，但在皮克斯里不算最精彩的，是属于那种背景深刻剧情简单的片子。但是豆瓣咋能有那么高的分- -。
         堪称完美的动画作品。
        "
海上钢琴师,1292001,9.2,https://movie.douban.com/subject/1292001/," 侮辱钢琴，侮辱智商。
         纯傻逼！！！多稳妥的故事让伪善者托纳托雷拍成了纯傻逼！！！多少细节都散发着矫揉造作的腥臭！！金玉其外肚子里就是一包草，如果弹得越快就越牛逼，那还要肖邦作甚？
         如果我把吉他练熟了，就可以不用买打火机啦
         某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园……而我就是这样发现我离不开我深爱的北京……
         我总觉得这是一个真实的故事，因为他的懦弱，懦弱得真实。
         每个人的心里都有自己的一艘船 一个近乎偏执的小归宿 只是因为它让我们感到实实在在的安全 不致无枝可依。
         不喜欢，没共鸣。
         给大众看的艺术家电影，很多煽情与细述很不必要，但是很多人喜欢
         也就音乐还算可以，Tim Roth太猥琐，不适合演这种文绉绉的角色
         最喜欢的电影，喜欢，不是之一，而是唯一 
         又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．
         giuseppe tornatore的三部曲之一------陆地？陆地对我来说是一艘太大的船，太漂亮的女人，太长的旅程，太浓烈的香水，无从着手的音乐。我永远无法走下这艘船，这样的话，我宁可舍弃我的生命。毕竟，我从来没有为任何人存在过，不是么？
         海上乌托邦
         这么多年我还是没有看完这部高分片……从一开始的故事带出演员表演方式我就知道不是我的菜 越往下看越觉得有些刻意矫情 导演的人生哲学暂且不提 单说讲故事的方式 就像小学生作文一样刻意 那种流于表面的情感根本无法吸引我 更别说被打动了。
         不伦不类
         一个人到底需要多大的世界呢？
         令人感动的宅男，让我想起了树上的男爵
         我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。
         疯子电影 一根筋
         1900，不特别的特别存在着。
        "
三傻大闹宝莱坞,3793023,9.1,https://movie.douban.com/subject/3793023/," 可以打6星吗！
         看了这部电影是我2010年最幸运的一件事 力荐！
         有点矫情 情节拖沓 三个人不断的掉泪掉泪掉泪 男猪脚大段大段的直白说教 说教 说教 把反面人物搞的完全平面与呆板 如果里面不是印度人 换成中国人 恐怕分数不会超过8分 豆瓣就是这样 
         这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！
         当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。
         【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）
         受不了了三个小时！！！墨迹的必须快进
         太给力了，有史以来最励志的电影。
         一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★
         对于“韩寒一样的印度电影”，我表示鸭梨很大。这电影不建议看
         活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。
         本年度最烂的片。。。被严重欺骗
         如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。
         阿米尔·汗你是个天才！！！
         很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。
         该片的中文翻译太烂了，差点就错过欣赏一部好作品了。
兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。 
的确，他让朋友们重新认识了自己和所要坚定的方向。
很喜欢片尾的那片湖泊，不知道是在哪里呢？
         恶俗 平庸 无病呻吟。男主角表情非常贱，地球上的星星里面恶心了我一次，现在又恶心我一次。  
         第一次完整看完一部印度片。中国不如。
         really for idiots..
         它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。
        "
